location,iso_code,corruption_control,cpi,governament_effectiveness,healthcare_expenditure,number_of_arrivals,political_regime,trust_in_governance,government_type,wave,population,population_density,median_age,gdp_per_capita,new_cases,new_deaths,new_tests,icu_patients,new_vaccinations
Sweden,SWE,2.13129,85,1.709257,5456.547,7616000.0,3,51.3281754260437,1,4,10160159.0,24.718,41.0,46949.283,111876.0,512.0,2294734.0,3531.0,217678.0
Switzerland,CHE,1.983491,85,1.951758,6978.086,11818000.0,3,80.6612709030345,3,1,8715494.0,214.243,43.1,57410.166,31714.0,1809.0,226318.0,14777.0,0.0
Switzerland,CHE,1.983491,85,1.951758,6978.086,11818000.0,3,80.6612709030345,3,2,8715494.0,214.243,43.1,57410.166,410119.0,6025.0,2633649.0,32500.0,6382.0
Switzerland,CHE,1.983491,85,1.951758,6978.086,11818000.0,3,80.6612709030345,3,3,8715494.0,214.243,43.1,57410.166,181684.0,1250.0,3941163.0,26288.0,7242773.0
Switzerland,CHE,1.983491,85,1.951758,6978.086,11818000.0,3,80.6612709030345,3,4,8715494.0,214.243,43.1,57410.166,363868.0,925.0,3792796.0,19676.0,3133700.0
Turkey,TUR,-0.3082614,39,0.0478893,1214.124,51747000.0,1,56.1260907192075,5,1,85042736.0,104.914,31.6,25129.341,199906.0,5131.0,3341360.0,0.0,0.0
Turkey,TUR,-0.3082614,39,0.0478893,1214.124,51747000.0,1,56.1260907192075,5,2,85042736.0,104.914,31.6,25129.341,1115294.0,14511.0,17366075.0,0.0,0.0
Turkey,TUR,-0.3082614,39,0.0478893,1214.124,51747000.0,1,56.1260907192075,5,3,85042736.0,104.914,31.6,25129.341,2948189.0,23739.0,31155553.0,0.0,48325304.0
Turkey,TUR,-0.3082614,39,0.0478893,1214.124,51747000.0,1,56.1260907192075,5,4,85042736.0,104.914,31.6,25129.341,2694121.0,22793.0,36153903.0,0.0,27006233.0
United Kingdom,GBR,1.785975,77,1.482738,4288.654,40857000.0,3,34.0828862506267,1,1,68207114.0,272.898,40.8,39753.244,285214.0,40479.0,2735898.0,133980.0,0.0
United Kingdom,GBR,1.785975,77,1.482738,4288.654,40857000.0,3,34.0828862506267,1,2,68207114.0,272.898,40.8,39753.244,2158152.0,32033.0,34271603.0,109030.0,0.0
United Kingdom,GBR,1.785975,77,1.482738,4288.654,40857000.0,3,34.0828862506267,1,3,68207114.0,272.898,40.8,39753.244,989111.0,22037.0,129213601.0,130430.0,68118601.0
United Kingdom,GBR,1.785975,77,1.482738,4288.654,40857000.0,3,34.0828862506267,1,4,68207114.0,272.898,40.8,39753.244,4173955.0,14226.0,99863684.0,96042.0,31181003.0
